timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5
2464.529000,0.880718,-0.852096,0.352582,-1.130145,-1.504971,-0.519270,-0.168436,-0.439541,0.157298,0.252920,3.109082,-0.129524,-0.122371,-1.901792,-1.005303,-0.653206,-0.101036,-0.092495
2465.529000,0.825662,-1.023669,0.664905,-1.276858,-1.505416,-0.648601,-0.179157,-0.415121,0.155113,0.134863,3.128800,-0.137858,-0.157029,-1.911905,-0.914908,-0.672647,-0.008079,-0.125931
2466.529000,0.771378,-1.147367,0.873246,-1.367823,-1.508368,-0.752782,-0.188270,-0.390707,0.152475,-0.055025,-3.130724,0.141210,-0.158516,-1.693593,-0.905066,-0.684118,-0.118419,-0.191203
2467.529000,0.807614,-1.010970,0.641741,-1.268525,-1.495438,-0.644615,-0.186233,-0.415522,0.155980,0.168525,3.120880,-0.150341,0.085867,-1.305469,-1.448935,-0.467897,0.129353,0.012092
2468.529000,0.807720,-1.010781,0.641163,-1.268458,-1.495362,-0.644523,-0.186241,-0.415629,0.156068,0.168491,3.120998,-0.150809,0.107360,-1.385019,-1.351153,-0.469992,0.096321,0.035477
2469.529000,0.825372,-0.775367,0.216885,-1.089786,-1.494971,-0.587217,-0.199112,-0.440553,0.157479,0.233467,3.117361,-0.164506,0.153085,-1.394428,-1.322828,-0.506480,-0.020453,0.133087
2470.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2471.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2472.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2473.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2474.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2475.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2476.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2477.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2478.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
2479.531000,0.815974,-0.667824,-0.003512,-0.984935,-1.485356,-0.608089,-0.205471,-0.444570,0.158646,0.216424,3.116079,-0.184571,0.030427,-1.704982,-0.931638,0.020768,0.007689,0.037368
